//简体繁体差异词语， 不要在第一行增加内容，留给注释用，3846行开始的是从另一个网站下载的，可能有点问题。
//内容格式为：简体+Tab+繁体
双页	兩頁
表单布局窗口	表單布局視窗
表单管理对象	表單管理物件
表单查看	表單檢視
表单架构应用程序	表單架構應用程式
型式参量	型式引數
型式参数列表	型式參數清單
格式化磁盘	格式化磁碟
格式字符串	格式字串
格式符	格式子
前置声明	前置宣告
基类	基礎類別
框架控件	框架控制項
框架窗口	框架視窗
框	訊框
可用字节	可用位元組
可用影像字节	可用影像位元組
剩余图形接口资源	剩餘圖形介面資源
剩余内存	剩餘記憶體
剩余空间	剩餘空間
剩余系统资源	剩餘系統資源
剩余用户资源	剩餘使用者資源
剩余	剩餘
周五	週五
文件传输协议 	檔案傳輸通訊協定
完全控制组件	完全控制元件
完全 DV 质量	完全 DV 品質
完全链接	完全連結
全模块查看	全模組檢視
完整路径名称 	完整路徑名稱
全屏方式	全螢幕模式
全屏	全螢幕
完整帧	完整畫面
完全质量采集	完全品質擷取
全伺服应用程序	全伺服應用程式
全伺服程序 	全伺服程式
全角	全形
完整类名称 	完整類別名稱
函式主体 	函式主體
函式调用 	函式呼叫
函式调用计数 	函式呼叫計數
函式涵盖范围 	函式涵蓋範圍
函数对象	函式物件
函数重载解决方案	函式多載決議程序
函数多载化 	函式多載化
函数覆盖 	函式覆寫
函数概况表	函式概況表
函数范围 	函式範圍
函数集	函式集
函数模板	函式模板
函式运行时间 	函式執行時間
函式阶层链接 	函式階層連結
函式原型范围 	函式原型範圍
功能组	功能群組
功能向导	功能精靈
仿函数	仿函式
主要数据类型	主要資料類型
假名备注	假名註解
未来值 	未來值
内存回收行程	記憶體回收行程
网关	通訊閘
网关	閘道器
常规性保护错误 (GPF)	一般性保護錯誤 (GPF)
常规	一般
常规用途	一般用途
生成器	產生器
通用类设置	通用類別設定
泛用创建者	通用建立者
通用算法	通用演算法
全域默认	全域預設值
全域对象	全域物件
全域优化	全域最佳化
全域变量	全域變數
图形缓存	圖形快取
良好质量	良好品質
转到	前往
抓取视频帧	抓取視訊幀
等级名	等級名稱
图形对象	圖形物件
图形用户介面GUI	圖形使用者介面GUI
图形设备介面 (GDI)	圖形裝置介面 (GDI)
变灰的菜单项	變灰的功能表項目
灰度	灰階
方格控件	方格控制項
组依据	群組依據
组列表	群組清單
组成员	群組成員
群组重命名	群組重新命名
组方块控件	群組方塊控制項
程序代码保护区间	程式碼保護區間
图形用户介面 (GUI)	圖形使用者介面 (GUI)
海湾	波斯灣
黑客	駭客
硬件已经禁用	硬體已經停用
半角	半形
处理函数	處理常式
交握协议	交握協定
全角韩文	全形韓文
硬盘驱动器	硬碟機
硬盘	硬碟
硬件	硬體
汉姆雷特	哈姆雷特
散算法	雜湊演算法
散多重集	雜湊多重集
散数	雜湊數
散列表	雜湊表
散值	雜湊值
标头控件	標頭控制項
标头文件	標頭檔案
前置数据	前置資料
帮助文件	幫助檔案
帮助文件	幫助檔案
帮助映射文件	幫助對映檔案
帮助项目文件	幫助專案檔案
帮助查找程序	幫助搜尋程式
帮助选择	選擇幫助
Helper 对象	Helper 物件
16 进制倾印	16 進位傾印
十六进制	十六進位
16 进制	16 進位
HHCtrl 对象	HHCtrl 物件
高档	高級
层次体系	階層體系
高位	高位元
高端	高階
高亮显示文字	高亮度顯示文字
高亮	高亮度
高亮显示	高亮度顯示
历史	歷史
点击测试代码	點擊測試程式碼
主页	首頁
水平平铺	水平並排
水平滚动条	水平捲軸
主应用程序	主應用程式
装载控件	裝載控制項
装载信息	裝載資訊
主机名	主電腦名稱
热键	快速鍵
沙漏光标	沙漏游標
如何使用帮助	如何使用說明
HTML 布局文件	HTML 布局檔案
HTTP 服务器	HTTP 伺服器
超文字传输协议 (HTTP)	超文字傳輸通訊協定 (HTTP)
超链接地址	超連結位址
超链接基底	超連結基底
超链接	超連結
超文字标志语言 (HTML)	超文字標記語言 (HTML)
超文字传输协议 (HTTP)	超文字傳輸協定 (HTTP)
超文字链接	超文字連結
图标栏	圖示列
图标文件	圖示檔案
图标资源	圖示資源
图标	圖示
集成开发环境 	整合開發環境
标识符文字	識別項文字
标识码前置词	識別碼前置詞
未指定类型的标识项	未指定類型的識別項
标识符	識別項
标识代码	識別碼
标识	識別
标识值增量	識別值增量
标识分割	識別分割
标识值种子	識別值種子
空闲感应器	閒置感應器
空闲状态	閒置狀態
空闲时间	閒置時間
空闲	閒置
IIS 应用程序根目录	IIS 應用程式根目錄
图象文件	圖像檔案
影像列表	影像清單
图象映射	圖像對映
IME 组字窗口	IME 組字視窗
键入法	輸入法
即时生成窗口	即時運算視窗
直接参量	直接引數
立即渲染	立即演算上色
实现介面向导	實作介面精靈
实现介面	實作介面
实现	實作
由实现环境决定	由實作環境決定
实现介面	實作介面
实现器	實作器
实现项	實作項
隐含链接	隱含連結
隐式	隱喻的、暗自的、隱式
导入数据库模板	匯入資料庫模板
导入文件	匯入檔案
导入函式	匯入函式
In-Memory 文件	In-Memory 檔案
就地激活	就地活化
就地激活	就地活化
同进程组件	同進程元件
同进程调试	同進程偵錯
同进程服务器	同進程伺服器
非活动	非作用中
英寸	英吋
Inlcude 文件	Inlcude 檔案
包含子文件夹	包含子資料夾
升序操作符 (++)	遞增運算子 (++)
增加运算符	累加運算子
累加查找:	累加搜尋:
累加编译版	累加建置
累加链接	累加連結
累加链接器	累加連結器
累加状态文件	累加狀態檔案
独立软件厂商 (ISV)	獨立軟體廠商 (ISV)
索引循序访问方法 (ISAM)	索引循序存取方法 (ISAM)
帮助主题	說明索引
索引查看	索引檢視
索引符传回类型	索引子傳回類型
索引符	索引子
间接内存编址生成元	間接記憶體定址運算元
间接取值操作符 (*)	間接取值運算子 (*)
无限递回	無限遞迴
无穷大	無限大
中置标志法	中置標記法
信息	資訊
信息内容	資訊內容
信息流程	資訊流程
信息模型	資訊模型
信息	資訊
初始化文件	初始化檔案
初始设置式	初始設定式
内联汇编语言	行內組合語言
内联组译程序代码	行內組譯程式碼
内联展开	行內展開
内联文件	行內檔案
内联函式	行內函式
内联脚本	行內腳本
内联样式	行內樣式
内联	行內
内部类	內部類別
键入焦点	輸入焦點
键入法 (IME)	輸入法 (IME)
键入源	輸入來源
插入文件	插入檔案
可插入的对象	可插入的物件
引入操作符 (<<)	引入運算子 (<<)
安装/删除	安裝/移除
正在安装离线复制	正在安裝離線複製
实例句柄	實體句柄
实例方法	實體方法
实例变量	實體變數
实例	實體
实例模型	實體模型
实例控件	實體控制項
具现样板	實體樣板
实例化	實體化
实例化	實體化
命令计划	命令排程
整数类数据类型	整數類資料類型
整体服务数位网络 (ISDN)	整體服務數位網路 (ISDN)
集成式开发环境	整合式開發環境
互动用户	互動使用者
交互式	交談式
连接架构	互相連線方案
介面标识项 (IID)	介面識別項 (IID)
介面文件	介面檔案
介面标识码	介面識別碼
集成电路	積體電路
内景颜色	內景色彩
内部链接	內部連結
国际设置数值	國際設定值
互联网控制消息协议	網際網路控制訊息通訊協定
互联网工程任务推动小组	網際網路工程任務推動小組
Internet 协议	Internet 通訊協定
多人在线交谈系统 (IRC)	多人線上交談系統 (IRC)
Internet 服务器应用程序发展介面 (ISAPI)	Internet 伺服器應用程式發展介面 (ISAPI)
Internet 服务器扩充 DLL	Internet 伺服器擴充 DLL
Internet 服务器扩充功能	Internet 伺服器擴充功能
Internet 服务器过滤常式	Internet 伺服器篩選常式
互联网	網際網路
互联网	網際網路
互通性 	互通性
中断	插斷
线程交互封送 	線程交互封送
内置常量	內建常數
内置控件	內建控制項
内置函式 	內建函式
字符无效	無效字元
非法文件名	檔名無效
非法文件名	檔案名稱無效
不变量表达式 	不變量運算式
IP 地址	IP 位址
ISAPI 扩充程序向导 	ISAPI 擴充程式精靈
隔离保存区	隔離儲存區
隔离保存体	隔離儲存體
问题详细数据表单	問題詳細資料表單
发行人	發照者
问题列表	問題清單
意大利	義大利
项目副文件名	項目副檔名
项目文件名	項目檔案名稱
迭代	迭代
迭代	迭代
迭代的	迭代的
迭代器	迭代器
不规则数组	不規則陣列
合并回圈	合併迴圈
JIT 调试	JIT 偵錯
联结运算符	聯結運算子
游戏杆	搖桿
联合数据表	聯合資料表
半角片假名	半形片假名
金钥组 	金鑰組
键入	輸入
机码设置	機碼設定
关键值 	關鍵值
键盘语言及布局	鍵盤語系及布局
键盘布局文件	鍵盤布局檔案
标签磁盘	標籤磁碟
标志陈述式 	標記陳述式
花边	蕾絲
横向	橫印
语言标识码	語言識別碼
大图标	大圖示
大规模集成电路	大型積體電路
激光唱机	雷射唱機
激光	雷射
最后一条	最後一筆
晚期系结	晚期繫結
晚期绑定	晚期繫結
层次窗口功能	層次視窗功能
布局文件	布局檔案
内存布局	記憶體布局
前导字节	前導位元組
前置字符为零	前置字元為零
最小显著性字节	最小顯著性位元組
左对齐	靠左對齊
鼠标左键	滑鼠左鍵
左外部联结 	左外部聯結
版权	著作權
级别	層級
语汇分析器 	語彙分析器
语汇分析 	語彙分析
语汇范围 	語彙範圍
库文件	程式庫檔案
库版本	程式庫版本
库	程式庫
自述文件	授權協議
免付费之授权 ActiveX 控件	免付費之授權 ActiveX 控制項
使用权属于	授權給
授权机制 	授權機制
轻量控件	輕量控制項
轻量型远程程序调用 	輕量型遠端程序呼叫
程序行计数 	程式行計數
程序行涵盖范围	程式行涵蓋範圍
行尾退出符号	行尾結束符號
程序概况表	程式概況表
行	橫列
行接续字符	行接續字元
回车符	換行字元
链接文件	連結檔案
链接时产生代码	連結時產生程式碼
链接图表	連結圖表
链接格式	連結格式
链接对象	連結物件
链接源	連結來源
链接时间	連結時間
链接	連結
连系规格	連繫規格
链接数据表管理器	連結資料表管理器
链接项目	連結項目
链接串列	連結串列
链接化对象	連結化物件
链接样式工作表	連結樣式工作表
链接窗口框架	連結視窗框架
链接窗口	連結視窗
链接器	連結器
链接与嵌入	連結與嵌入
链接库	連結程式庫
帮助主题列表	列出說明主題
列表查看控件	清單檢視控制項
列表	清單
列表方块控件	清單方塊控制項
列表索引	清單索引
接听模式	聽取模式
接听应用程序	接聽應用程式
帮助主题列表	列出說明主題
载入有效地址命令	載入有效位址命令
载入图标	載入圖示
启动时载入	啟動時載入
载入调色板	載入調色盤
本机 Web 应用程序	本機 Web 應用程式
本机 Web 服务器	本機 Web 伺服器
区域类	區域類別
本机文件	本機檔案
局域网	區域網路
本机计算机	本機電腦
区域对象	區域物件
本地端口	本機連接埠
本机项目	本機專案
本机远程程序调用	本機遠端程序呼叫
本机服务器	本機伺服器
区域变量	區域變數
局部的	區域性的
地区设置标识码	地區設定識別碼
地区设置	地區設定
地区设置特性	地區設定特性
地区设置标识码 (LocaleID)	地區設定識別碼 (LocaleID)
本地化文件	本地化檔案
本机的缓存资源	本機的快取資源
区域变量	區域變數
位置信息	位置資訊
锁定控件	鎖定控制項
锁定项目	鎖定專案
锁定信息文件	鎖定資訊檔案
锁定冲突	鎖定違規
日志文件查看器	日誌檔案檢視器
日志文件	日誌檔案
日志文件	日誌檔案
逻辑等价 	邏輯等價
逻辑字体 	邏輯字型
逻辑隐含式 	邏輯隱含式
逻辑程序叙述行 	邏輯程式敘述行
逻辑运算符 	邏輯運算子
逻辑移位 	邏輯移位
逻辑单位 	邏輯單位
逻辑查看 	邏輯檢視
登录	登入
注销	登出
长文件名	長檔名
长整数 	長整數
长指标 	長指標
长变量 	長變數
长整数 	長整數
外观浏览器	外觀瀏覽器
查看数据表	查閱資料表
回圈结构型式	迴圈結構型式
回圈生成外提	迴圈運算外提
回圈合并	迴圈合併
回圈优化	迴圈最佳化
回圈	迴圈
松开	鬆開
低端	低階
机器数据源名称	機器資料來源名稱
麦金塔资源编译器 	麥金塔資源編譯器
麦金塔二进制资源文件 	麥金塔二進位資源檔案
宏管理器	巨集總管
宏定义	巨集定義
宏展开 	巨集展開
宏	巨集
宏对话框	巨集對話方塊
邮件	信件
MailItem 对象	MailItem 物件
邮件匣	信件匣
主数据表选定对话框	主資料表選取對話方塊
主应用程序窗口	主應用程式視窗
主机控制器	主控制卡
主框架窗口 	主框架視窗
主存	主記憶體
主消息回圈	主訊息迴圈
主渠道	主要途徑
主数据表 	主資料表
主机	主電腦
维护公用程序	維護公用程式
制做增益功能	製做增益功能
设置成相同高度	設定成相同高度
设置成相同水平间距	設定成相同水平間距
制做相同大小	製做相同大小
制做数据表查询 	製做資料表查詢
制做数据表 	製做資料表
制做电影	製做電影
制作开机磁盘	製作開機磁碟
Makefile 项目向导	Makefile 專案精靈
普通话	國語
明示常量	明示常數
手动配置	手動組態
手工	手動
制造商	製造廠商
制造商	製造商
映射文件	對應檔案
映射网络驱动器	對應網路磁碟機
映射网络驱动器	對應網路磁碟機
映射网络资源	對應網路資訊
映射网络	對應網路
对应文件	對應檔案
映射	對映
标志的	標記的
数据标志	資料標記
跑马灯控件	跑馬燈控制項
掩码位图	遮罩點陣圖
掩码工作区	遮罩工作區
掩码	遮罩
格式编辑控件	格式編輯控制項
格式编辑控件	格式編輯控制項
大型存放设备	大型存放裝置
子字符串须相符	子字串須相符
将窗口放大到实际尺寸	將視窗放到最大
最大化	放到最大
最大化窗口	最大化視窗
最大空间	容量上限
成员访问运算符	成員存取運算子
成员存取运算符	成員取用運算子
成员函数	成員函式
成员初始值列表	成員初始值清單
成员变量	成員變數
成员访问控制	成員存取控制
成员逐一复制	成員逐一複製
内存分派	記憶體分派
内存列块	記憶體區塊
内存缓存基底对象	記憶體快取基底物件
内存设备内容	記憶體裝置內容
内存不够	無足夠的記憶體
内存布局	記憶體布局
内存遗漏	記憶體遺漏
内存模型	記憶體模型
内存对象	記憶體物件
内存使用增量	記憶體使用量差異
内存	記憶體
菜单栏	功能表列
菜单控件	功能表控制項
菜单项	功能表項目
菜单程序	功能表程式集
菜单资源	功能表資源
菜单	功能表
菜单项标识码	功能表項目識別碼
消息方块	訊息方塊
消息断开点	訊息中斷點
消息萃取器	訊息萃取器
消息文件	訊息檔案
消息过滤器	訊息過濾器
消息处理常式	訊息處理常式
消息处理	訊息處理
消息回圈	訊息迴圈
消息映射	訊息對映
消息封装	訊息封裝
消息帮浦	訊息幫浦
消息队列	訊息佇列
消息队列	訊息佇列
消息反映	訊息反映
消息接收	訊息接收
消息	訊息
消息驱动	訊息驅動
消息处理函式	訊息處理函式
消息映射项	訊息對映項
消息映射宏	訊息對映巨集
信息应用程序发展介面 (MAPI)	訊息應用程式發展介面 (MAPI)
中继标志	中繼標記
中继数据	中繼資料
图元文件	中繼檔案
计量表控件	計量表控制項
用法	使用方式
度量信息	度量資訊
微机	微電腦
鼠标中间键	滑鼠中間鍵
中端	中階
转换向导	轉換精靈
毫米	公釐
最小化所有窗口	所有視窗縮到最小
启动时最小化	啟動時縮到最小
最小化	縮到最小
最小化窗口	最小化視窗
助记符	助憶符號
强制响应	強制回應
非强制响应表单	非強制回應表單
非强制响应 	非強制回應
	塑模語言，建模語言
建模工具	塑模工具
调制解调器连接	數據機連線
调制解调器	數據機
模块	模組
模块定义文件	模組定義檔案
模块层次	模組層次
周一	週一
等宽字体	等寬字型
月历控件	月曆控制項
最大显著性字节	最大顯著性位元組
最底层的派生类	最末層衍生類別
鼠标捕捉	滑鼠捕捉
鼠标事件	滑鼠事件
鼠标信息	滑鼠訊息
鼠标指标信息告知	滑鼠指標訊息告知
鼠标	滑鼠
文件移动	移動檔案
文件夹移动	移動資料夾
电影文件	電影檔案
多重程序代码导入/导出	多重程式碼匯入/匯出
多重链接的链结	多重連結的鍊結
多用户环境	多使用者環境
多重卷标压缩	多重卷輯壓縮
多字节字符集 (MBCS)	多位元組字元集 (MBCS)
多字节代码页	多位元組字碼頁
多点发送	多點傳送
多行编辑控件	多行編輯控制項
多重映射	多重對映
多媒体控件	多媒體控制項
多重配置	多重組態
多重文件数据类型	多重文件資料類型
多重文件	多重檔案
多重选定	多重選取
多行编辑控件	多行編輯控制項
多重选择列表方块	多重選擇清單方塊
乘法类运算符	乘法類運算子
多用途互联网邮件扩展标准 (MIME)	多用途網際網路郵件延伸標準 (MIME)
多线程应用程序	多線程應用程式
多用户	多使用者
多重查看	多重檢視
Mutex 对象	Mutex 物件
我的文档	我的文件
收藏夹	我的最愛
我的项目	我的專案
具名参量	具名引數
命名的书签	命名的書籤
命名空间干扰	命名空間干擾
窄带	窄頻
美国国家超级计算机应用中心 (NSCA)	美國國家超級電腦應用中心 (NSCA)
国家语言支持	國家語言支援
原生数据	原生資料
嵌套法	巢狀
嵌套类	巢狀類別
嵌套框架	巢狀框架
嵌套类型	巢狀類型
嵌套	巢狀
嵌套层次	巢狀層次
网络负载平衡 	網路負載平衡
网卡	網路卡
网络地址转译	網路位址轉譯
网卡	網路卡
网络连接	網路連線
网上邻居	網路上的芳鄰
网络服务供应商 	網路服務供應商
网络	網路
网络组件	網路元件
从不	永遠不
新建超然的工具栏	新增超然的工具列
新盘	新的磁片
新建项目	新增項目
新文件夹	新資料夾
新建水平选项卡组	新增水平索引標籤群組
新建索引键	新增索引鍵
新建宏命令	新增巨集命令
新邮件	新信件
新密码	新的密碼
新建项目	新增專案
新搜索	重新搜尋
新建工具栏	新增工具列
开新窗口	開新視窗
新窗口	新增視窗
新建(&N)	新增(&N)
新建	新增
新建	新增
NewData 参量	NewData 引數
新行字符	新行字元
新行 	新行
下一条	下一筆
下一曲目	下一個曲目
未选定	沒有選擇
No-Access 字节	No-Access 位元組
非字符串	非字串
非软盘文件	非磁片檔案
非内置 OLE	非內建 OLE
非内置 	非內建
非强制响应表单	非強制回應表單
隐藏式 	隱藏式
非汇总对象	非彙總物件
非工作区 	非工作區
非整数类表达式 	非整數類運算式
未分页集区字节	未分頁集區位元組
非数值类值 	非數值類值
非静态成员函数 	非靜態成員函式
非静态变量	非靜態變數
非系统键 	非系統鍵
正常拖放	標準拖曳
正常性运行	正常性執行
正常初始化	正確起始
正常选定	標準選取
常规窗口	標準視窗
常规	一般
不可用	無法使用
未找到	找不到
笔记本电脑	筆記型電腦
告知信息	告知訊息
以 Nul 退出的字符串	以 Nul 結束的字串
Null 字符	Null 字元
Null 字符串	Null 字串
Null 终端字符字符串	Null 終端字元字串
打印数量	列印數量
数值表达式	數值運算式
整型参数	整數參數
数字体别	數字類型
对象浏览器筛选条件	物件瀏覽器篩選條件
对象浏览器无过滤条件	物件瀏覽器無篩選條件
对象浏览器	物件瀏覽器
对象链接与嵌入 (OLE)	物件連結與嵌入 (OLE)
对象模型	物件模型
目标模块格式	目的模組格式
对象类型	物件類型
对象查看器	物件檢視器
基于对象	基於物件
目标码	目的碼
对象描述语言文件	物件描述語言檔案
对象表达式	物件運算式
目标文件	目的檔案
对象阶层架构	物件階層架構
目标库文件	目的程式庫檔案
对象库	物件程式庫
对象映射	物件對映
对象模型	物件模型
对象模块	物件模組
面向对象	物件導向
对象集区	物件集區
对象限定词	物件限定詞
对象状态	物件狀態
对象变量	物件變數
对象的操作	物件的動作
对象	物件
对象导向设计	物件導向設計
八进制的	八進位的
ODBC 数据指标库	ODBC 資料指標程式庫
ODBC 驱动程序	ODBC 驅動程式
ODBC 	ODBC
OEM 字符集	OEM 字元集
写字楼	辦公室
离线发行向导	離線發行精靈
离线复制	離線複製
OLE Automation 控制程序	OLE Automation 控制程式
OLE Automation 对象	OLE Automation 物件
OLE Automation 伺服程序	OLE Automation 伺服程式
OLE DB 供应商	OLE DB 提供者
OLE 伺服程序	OLE 伺服程式
OLE 容器控件	OLE 容器控制項
OLE 拖放操作	OLE 拖放動作
在线	線上
软键盘	螢幕小鍵盤
仅	只有
对象导向程序设计 	物件導向程式設計
开放式数据库连接 (ODBC)	開放式資料庫連線 (ODBC)
独占打开权限	獨佔開啟權限
开放式信息模型	開放式資訊模型
打开链接文件	開啟連結檔案
从 Web 打开项目	從 Web 開啟專案
打开项目	開啟專案
开放服务架构 	開放服務架構
开放模式软件说明 (OSD)	開放模式軟體說明 (OSD)
开放软件基金会 (OSF)	開放軟體基金會 (OSF)
打开方式	開啟方式
从原始文件控制打开	從原始檔案控制開啟
从 Web 服务器打开	從 Web 伺服器開啟
打开项目	開啟專案
打开所选项目	開啟所選的項目
打开这份文档	開啟這個文件
打开(&O)	開啟(&O)
开头标志	開頭標記
生成元	運算元
操作数	運算元
运算码	操作碼
操作失败	作業失敗
操作系统	作業系統
操作	作業
运算符优先顺序	運算子優先順序
运算符	運算子
优化	最佳化
优化	最佳化
优化中继语言	最佳化中繼語言
优化提示	最佳化提示
选择性参量	選擇性引數
或者	或是
序列号	序號
原设置	原始設定
原位置	原始位置
其他文件	其他檔案
其他信息	其他資訊
其他	其它
内存不足	記憶體不足
内存不足例外状况	記憶體不足例外狀況
跨进程组件	跨進程元件
跨进程调试	跨進程偵錯
输出流式	輸出串流
负担	額外負擔
层叠窗口	重疊顯示視窗
重载解析	多載解析
重载的函数	多載化函式
被重载的运算符	多載化運算子
重载集合	多載集合
重载	多載
强制替代项	強制覆寫項
附属窗口	附屬視窗
主控窗口	主控視窗
主控描绘控件	主控描繪控制項
封装暨部署向导	封裝暨部署精靈
软件包	套裝軟體
封装向导	封裝精靈
封装的 IP 地址	封裝的 IP 位址
互联网数据包探索 (PING)	網際網路封包探索 (PING)
数据包集成	封包整合
分组交换	封包交換
数据包	封包
分页文件字节	分頁檔案位元組
分页错误增量	分頁錯誤差異
页面设置	頁面設定
ＢＰ机	呼叫器
色盘映射	色盤對映
卡纸	夾紙
并行	平行
并口	並列
参数数组	參數陣列
参数列块	參數區塊
参数数据成员	參數資料成員
参数前置字符	參數前置字元
参数设置	參數設定
参数后置字符	參數後置字元
父类	父類別
上层菜单	上層功能表
上层对象	上層物件
上层数据表	上層資料表
上层窗口	上層視窗
父-子关系	父-子關係
剖析映射	剖析對映
传地址	傳址
传地址	傳址
密码验证协议	密碼驗證協定
密码表	密碼清單
密码不匹配	密碼不符
选择性粘贴	選擇性貼上
粘贴链接	貼上連結
选择性粘贴	選擇性貼上
路径太深	路徑太長
模式比对字符串	模式比對字串
模式	樣式
峰值分页文件字节	峰值分頁檔案位元組
峰值虚拟字节	峰值虛擬位元組
Peephole 优化	Peephole 最佳化
对等网络	對等網路
性能监视器	效能監視器
性能	效能
周期	週期
周边组件连接 (PCI)	周邊元件連接 (PCI)
外围设备	週邊設備
外围	週邊
永久保存区	永久儲存區
宽松类型语意	寬鬆類型語意
永续性保存体	永續性儲存體
个人证书	個人認證資料
个人文件	個人檔案
物理地址	實體位址
实体设备	實體裝置
实体字体	實體字型
物理内存	實體記憶體
选定网址	選取網址
图片方块控件	圖片方塊控制項
枢纽分析查看	樞紐分析檢視
象素	像素
文本	純文字
播放列表	播放清單
即插即用	隨插即用
插件	外掛程式
口袋书	袖珍本
点对点协议 (PPP)	點對點通訊協定 (PPP)
指针速度	指標速度
数据成员指标	資料成員指標
数据指标	資料指標
指针轨迹	指標軌跡
指针	指標
公安	警察
多型 	多型
多态	多型
快捷菜单	快顯功能表
快显窗口 	快顯視窗
填入 	填入
端口名	連接埠名稱
端口号	連接埠號碼
端口	連接埠
可移植的程序代码 	可移植的程式碼
纵向	直印
发布信息	發佈訊息
构建后	建置後
事后剖析调试	事後剖析偵錯
后编码 	後編碼
后置标志法 	後置標記法
潜质	潛力
节能方式	省電模式
节能	節約能源
高级用户 	進階使用者
构建前	建置前
链接前	連結前
先行编译标头文件	先行編譯標頭檔案
预先组成的字符	預先組成的字元
预先定义宏	預先定義巨集
首选设备	偏好裝置
首选	偏好
前置字符	前置字元
前置标志法 	前置標記法
前置处理器指示词 	前置處理器指示詞
前置处理器指示词 	前置處理器指示詞
预处理器	前處理器
前置处理器 	前置處理器
展示缓存 	展示快取
展示数据 	展示資料
展示文件	展示檔案
简报对象	簡報物件
预先设置	預先設定
上一条	上一筆
上一曲目	上一個曲目
主操作	主動作
打印跨页	列印跨頁
打印管理器	列印管理器
打印处理器	列印處理器
打印缩放	列印縮放
打印后台打印器介面	列印多工緩衝處理器介面
打印当前文档	列印現用的文件
打印到文件	列印到檔案
打印区	列印區
打印	列印
打印机名	印表機名稱
打印机	印表機
打印文件	列印檔案
打印作业	列印工作
正在打印	列印中
打印成品	列印成品
优先级	優先等級
隐私权政策	隱私權原則
私用控件	私用控制項
私用堆积 	私用堆積
私有数据包	封包專用
私用变量	私用變數
程序标识码	程序識別碼
程序词汇 	程序詞彙
程序查看	程序檢視
过程	程序
进程实例	進程實體
产品标识码	產品識別碼
产品金钥	產品金鑰
产品名称	產品名稱
实际运行数据库	實際執行資料庫
实际运行服务器	實際執行伺服器
产能组件	產能元件
产能工具	產能工具
规划文件	規劃檔案
程序数据库文件	程式資料庫檔案
程序文件	程式檔案
程序流程	程式流程
程序组	程式群組
程序标识	程式識別
程序管理器	程式管理器
程序名	程式名稱
程序	程式
可程序化	可程式化
程序设计标识码	程式設計識別碼
程序员	程式員
程序设计环境	程式設計環境
程序撰写模型	程式撰寫模型
编程	程式設計
编程	程式編輯
程序	程式
程序	程式集
进度条控件	進度列控制項
进度条	進度列
进度条	進度列
高级选项	進階選項
项目相依性	專案相依性
项目目录	專案目錄
项目总管	專案總管
项目文件名	專案檔案名稱
项目位置:	專案位置:
项目特性	專案特性
项目窗口	專案視窗
项目及组件管理对象	專案及元件管理物件
方案文件	專案檔案
项目信息	專案訊息
项目名称	專案名稱
项目	專案
投影仪	投影機
初构程序代码	初構程式碼
初构/终解程序代码顺序	初構/終解程式碼順序
提示字符串	提示字串
特性列表	特性清單
特性窗口	特性視窗
特性浏览器	特性瀏覽器
特性页向导	特性頁精靈
特性数组索引	特性陣列索引
特性数组	特性陣列
特性集 	特性集
特性工作表 	特性工作表
协议家族	協定家族
协议处理常式	協定處理常式
协议	協定
供应商对象 	提供者物件
供应商 	提供者
代理服务器	代理伺服器
代理服务器	代理伺服器
伪码	假碼
虚拟数据行 	虛擬資料行
虚拟封送处理 	虛擬封送處理
虚拟代码	虛擬程式碼
虚拟目标 	虛擬目標
公用列举类型 	公用列舉類型
公用文件夹	公用資料夾
公开金钥 	公開金鑰
公用控件	公用控制項
公用对象	公用物件
在线公共论坛	線上公共論壇
公交	公共交通
公用用户	公用使用者
发行物数据表过滤条件	發行物資料表過濾條件
出版物	出版品
发行者 	發行者
脉冲式电话	撥盤式電話
标点符号 	標點符號
纯虚拟函式 	純虛擬函式
限定修饰	經資格修飾
限定修饰词	資格修飾詞
质量确定测试套件	品質確定測試套件
质量管理	品質管制
质量	品質
查询数值	查詢值
待发传真	外送傳真
队列名	佇列名稱
快速运行	快速執行
快速查看	快速檢視
引号标识项	引號識別項
引用级	引言層級
选项框	單選按鈕
单选框	單選按鈕
RAM 盘	RAM 磁碟
随机访问内存 (RAM)	隨機存取記憶體 (RAM)
随机顺序	隨機選曲
乱数生成器	亂數產生器
快速应用程序开发 (RAD)	快速應用程式開發 (RAD)
点阵字体	點陣字型
光栅作业程序代码	光柵作業程式碼
未经处理数据	未經處理資料
常规介面指标	一般介面指標
远程数据对象 (RDO)	遠端資料物件 (RDO)
只读	唯讀
只读文件	唯讀檔案
只读	唯讀
自述文件	讀我檔案
只读	唯讀
实模式	真實模式
原因未知	原因不詳
最近的文件	最近的檔案
最近使用的列表	最近使用的清單
识别的	辨識的
标识组件	識別元件
数据录分隔符号	資料錄分隔符號
数据录区域交换	資料錄欄位交換
数据录查看	資料錄檢視
录制画外音	錄製旁白
数据录级别	資料錄層級
录制器	錄製器
Recordset 对象	Recordset 物件
数据录集对象	資料錄集物件
数据录集	資料錄集
数据录集类型	資料錄集類型
矩形数组	矩形陣列
递回	遞迴
递回地	遞迴地
回收站	資源回收筒
重定向模式	重新導向方案
重定向脚本	重新導向腳本
将窗口缩为图标	將視窗縮成圖示
精简命令集计算机 (RISC)	精簡命令集電腦 (RISC)
冗余	冗餘
参考引用	參照次數
参考引用	參照計數
数据引用	參照資料
