記憶體	内存
尋找文字	查找文字
細緻；精細	细致；精细
完成	完成
引發	激发
引發事件	激发事件
第一筆記錄	第一个记录
符合頁面	符合页面
修復；固定	修复；固定
定位	定位
固定對話方塊	固定对话框
固定色盤	固定调色板
固定單一	固定单一
固定工具視窗	固定工具窗口
定長字串	定长字符串
固定字幅	固定字幅
修復	修复；固定
平	平
平面合成影像	平面合成图象
浮動圖示工具列	浮动工具条
平面化	平面化
平面化圖層	平面化层
避免重繪閃動	
浮動；浮點數	浮点数[类型]
浮動	浮动
浮動框	浮动框
浮點	浮点
浮動工具列	浮动工具条
浮點資料型式	浮点类型
浮點函數	浮点函数
浮點數值	浮点数值
浮點作業	浮点操作
流量控制	流控制
清除	齐平
焦點	焦点
焦點矩形	焦点矩形
定焦矩形	定焦矩形
資料夾追蹤器	文件夹跟踪器
折疊線	折叠线
字型檔	字型文件
字型對映器	字型映射
字型對映	字型映射
字型資源	字型资源
字型方案	字型方案
字型檢視	字型视图
僅限私用	仅限私用
強制	强制
強制框大小	强制帧大小
強制每秒框數	强制每秒帧数
前景色彩	前景颜色
前景色彩	前景颜色
前景視窗	情景窗口
外來應用程式	外来应用程序
外來影像	外来图像
外來索引鍵	外健
外來索引鍵表	外健表
表格類別	表格类别
表格設計者	表格设计者
表格編輯器	表格编辑器
表格格線設定	表格线设定
表格影像	表格图像
表格布局	表格布局
表格布局視窗	表格布局窗口
表格型式	表格类型
表格檢視	表格视图
形式引數	形式参数
形式參數表列	形式参数列表
格式定義塊	格式定义块
格式化磁碟	格式化磁盘
格式串	格式化字符串
格式樣式表	格式样式表
格式器	格式器
格式化中	格式化…
格式化矩形	格式化矩形
格式化工具列	格式化工具条
表格基礎應用	表格举出应用
表格層次	表格层次
正向，轉送	转发
前置宣告	正向声明
向前一框	向前一帧
向前參考	向前参考
已轉信	已转发
僅正向	仅向前
基礎類別	基础类
四字元碼	四字节码
框每秒	帧/秒
逐框播放	逐帧播放
框控制	帧控制
框抓取器	帧抓取
框頁	帧页
框速率	帧速率
逐框反轉	逐帧反转
串流框大小	流帧大小
框視窗	帧窗口
遺漏框數	帧遗漏
框每秒	帧/秒
框集	帧集；框架
框架	框架
步驟框架	步骤框架
框錯誤	帧错误
可用位元組	可用位
可用圖形介面資源	可用图形界面资源
可用影像位元組	可用图像位
可用記憶體	可用内存
可用頁面	可用页面
可用系統資源	可用系统资源
無限制線程封送處理器	
無限制線程	无限线程
無限制線程模型	无限线程模型
自由變換	自由变换
可用使用者資源	可以用户资源
自由格式模型	自由格式模型
自由格式工具	自由格式工具
樣本率頻率	样本率频率
常見問題集	常见问题[集]
親和名稱	
框	帧
框每秒	帧/秒
發信人；從	从
前端	前端
完全控制組件	全部控件
完全 DV 品質	
完全連結	完整连接
全模組檢視	
完整外部聯結	完整外部连接
完整路徑名稱	完整路径
全螢幕模式	全屏模式
全特化	全特化
完整畫面	完整帧
完全品質擷取	
全螢幕	全屏
全形	全形
完整類別名稱	完整类名
功能；函數	功能；函数
函數主體	函数体
函數呼叫	函数调用
函數計數	函数计数
函數涵蓋	函数覆盖
函數宣告	函数声明
函數定義；功能定義	行数定义；功能定义
功能鍵	功能键
函數表列	函数列表
函數物件	函数对象
函數多載決議程序	
函數多載	函数重载
函數覆寫	函数重写
函數描繪	函数描述
函數範圍	函数范围
函數集	函数集
函數模板；功能模版	函数模板
函數執行時間	函数执行时间
功能性	功能性
函數層連結	函数层连接
函數雛型範圍	函数过程范围
基本型式	基本类型
未來值	
間隙索引	间隙索引
保證	保证
閘	门
量計長度	计量长度
高斯模糊	高斯模糊
GPF 一般性保護錯誤	
一般用途	通用
產生	生成器
產生器	生成器
同屬演算法	通用算法
同屬類別設定	类属类别设定
同屬合成別號	类属合成别号
同屬建立者	类属创建程序
類型；風格	类型
取回區	获得区域
取回指標	获得指针
蒼白	苍白
全域預設值	全局默认值
全域物件	全局对象
全域最佳化	全局最佳化
全域規則	全局规则
全域腳本	全局脚本
全域樣式表	全局样式表
全域變數	全局变量
光暈	光晕
字符快取	字形高速缓存
前往	转到
抓取	抓取
抓取控點	抓取句柄
抓取視訊框	抓取视频帧
抓取框	抓取的帧
等級名稱	等级名
灰階分類	灰阶分类
灰階選項	灰阶选项
灰階樣式	灰阶样式
顆粒；粒狀紋理	颗粒
粒子化濾鏡	
總計	总计
圖形	图形
圖形物件	图形对象
圖形重疊	图形重叠
圖形使用者介面	图像用户界面
圖形外貌	图形外观
圖形裝置介面 	图形设备接口
圖形敘述	图形说明
變灰核對值	灰色检查值
變灰選單項目	灰色选单项
灰階	灰阶
灰階色盤	灰阶调色板
柵格控制	栅格控制
格線布局	栅格布局
群組	组；成组
群組表列	组列表
群組成員	组成员
群組重新命名	组重命名
群組方塊控制	控件组
保證	保证
程式碼保護區間	代码保护区域
保護區段	保护段落
指導綱要	指南
指導	导则
指引	指南
駭客	黑客；黑客
硬體失能	硬件禁用
一半大小	一般大小
半形	半形
處置器	处理器，处理例程
處置鎖定衝突	处理锁定冲突
交握	联络
凸排	悬挂式缩进
硬限制器	硬限制器
硬轉回	硬回车
硬碼	硬码
硬碟	硬盘
硬碟機	硬盘驱动器
硬體加速	硬件加速
硬體填色	硬件填充颜色
硬體透通	硬件透明
粗濕	粗湿
雜湊演算法	哈希算法
雜湊多重集	哈希多重集
雜湊數	哈希数
雜湊表	哈希表
雜湊值	散列值
規劃型樣	
標頭；讀寫頭；頭端	磁头；头[部]
標頭；表頭	首部
標頭控制	标题控制
標題	标题
堆積	堆；堆
堆積配置	堆分配
強烈模糊	强烈模糊
內圓高度	内圆高度
求助內容	帮助内容
求助映射檔	帮助映射文件
求助概觀	帮助概要
求助專案檔	帮助项目文件
求助搜尋程式	帮助查找程序
求助選擇	帮助选择
求助主題	帮助主题
異質的	异类的
十六進位傾印	十六进制转储
十六進位	十六元，十六进制
隱藏	隐藏
隱藏文字	隐藏文字
隱藏下落式陰影	隐藏下阴影
階層	层次[结构]
高位元	高位
高階	高阶
醒目文字	高亮文本
醒目	高亮
醒目的檔案型式	高亮文件类型
高階字	高阶字
嘶聲等級	嘶声等级
降低嘶聲	嘶声降低
點擊；命中	查到；暂扰
點擊計數；命中計數	点击计数
點擊測試；命中測試	点击测试
點擊測試碼	点击测试代码
按住	按下
托架；持有者	持有者
全像	全息图
家庭視訊	家庭视频
攔截	钩连点
攔截函數	
攔截程序	
水平百葉窗	水平百叶窗
水平線	水平线
水平解析度	水平分辨率
水平捲軸	水平滚动条
水平間距	水平间距
水平並排	水平排列
水平停駐	水平停住
主應用	主应用程序
裝載控制	主控
裝載能力	主控能力
裝載資訊	主控信息
主機名稱	主机名
熱鈕	热钮
熱鍵	热键
暗粉紅	按粉红
熱點	热点
沙漏游標	沙漏指针
html 布局檔案	html布局文件
html清理	html清理
集線器	毂；集线器
色調	色调
人可讀的	人可读的
超連結位址	超链接地址
超連結基底	超链接基础地址
超文字連結	超链接文本
超文字標記語言	超文本置标语言
超文字參考	超文本参考
超文字傳輸通訊協定	超文本传输协议
圖示列	图标栏
圖示檔案	图标文件
圖示資源	图标资源
整合開發環境	集成开发环境
識別符前綴	标识符前缀
識別符文字	标识符文本
識別；身分	识别
識別增量	识别增量
識別分割	识别分割
識別種子	识别种子
閒置	空闲
閒置感應器	空闲传感器
閒置狀態	空闲状态
閒置時間	空闲时间
忽略	忽略
忽略大小寫	忽略大小写
非法的	非法
影像基底	
影像檔案	图像文件
影像圖庫	图像库
影像表列	图像列表
影像記錄器	图像记录
影像序列	图像序列
影像大小	图像大小
影像編輯	图像编辑
直接引數	直接变量
直接基礎	直接基础
直接衍生	直接衍生
直接呈現	直接呈现
直接敘述	直接叙述
直接視窗	直接窗口
實作	执行
實作介面	执行界面
依實作定義	执行定义
實作者	执行者
內隱的；隱含的	隐含
隱含連結	隐含连接
隱含參考	隐含参考
匯入資料庫模板	引入数据库模板
匯入檔案	引入文件
匯入函數	引入函数
進行中	进行中
不作用	非活动
英吋	英寸
包含	包含
內送	引入
遞增運算子	递增运算符
遞增備份	增量备份
遞增建置	递增构建
遞增連結	递增连接
遞增連結器	递增连接器
遞增搜尋	递增搜索
遞增狀態檔案	递增状态文件
縮排空格	缩进空格
獨立軟體廠商	独立软件供应商
索引循序存取法	索引顺序存取法
索引檢視	索引视图
索引子	索引子
索引子傳回型式	索引子回传类型
指示	显示
指示器；指示符	指示器，指标
指示器邊限	
間接記憶運算元	间接内存运算
間接法	间接法
個人模板	个人模板
推理規則	推理规则
無限大	无限大
無限遞迴	无限递归
字間記法；中置記法	中缀记法
商業資訊廣告	
資訊	信息；信息；信息；信息
資訊內容	信息内容
資訊流	信息流
資訊模型	信息模型
繼承循環	继承循环
繼承階層	继承层次
初始容量	初始容量
初始化檔案	初始化文件
初始化	初始化
初始器	 初始化表达式
初始化傳真	初始化传真
墨水瓶	墨水瓶
鑲套	嵌套
行內組合器	行内组合器
行內組合程式碼	行内组合码
行內展開	行内展开
行內檔案	行内档案
行內函數	行内函数
行內腳本	行内脚本
行內式樣	行内式样
內斜角	内斜角
內部類別	内部类别
內部例外	内部例外
內部聯合	内并[符]
內部陰影	内阴影
內部寬度	内宽度
就地啟動	就地启动
就地啟用	就地启用
當地按鈕	就地按钮
處理中	处理中
處理中組件	处理中组件
處理中偵錯	处理中调试
處理中伺服器	处理中服务器
輸入	输入
輸入焦點	输入焦点
輸入位準	输入位准
輸入法編輯器	输入法编辑器
輸入來源	输入来源
插入色彩	插入颜色
插入	插入颜色
插入數字	插入数字
插入查詢	插入查询
插入結果	插入结果
插入值查詢	插入值查询
插入欄	插入列
填滿欄	填充列
可插入物件	可插入对象
嵌入浮凸	嵌入浮雕
插入路徑	嵌入路径
內部程序	内部程序
內實線	内实线
檢驗	检查
實例處置	实例处理
實例方法	实例方法
實例變數	实例变量
實例模型	实例模型
實例現場控制	
實例樣板	实例模版
實例化	例示
電子電機工程師學會	电气和电子工程师协会
指令排程	指令安排
整數型式	整型
整體服務數位網路	综合服务数字网
(色彩)飽和度；強度	饱和度
強度立體聲編碼	
攔截器	拦截器
互連方案	互联方案
介面定義語言	接口定义语言
介面檔案	接口文件
介面識別符	接口ID
介面識別符	接口标识符
介面型式	接口类型
整合	集成
積體電路	集成电路
內景色彩	
交錯	隔行
交錯效用	交错效用
交錯	交错
中間目錄	中间目录
中間事件	中间事件
中介語言	媒介(中间)语言
內部鏈結	内连接
內部投資報酬率	
國際設定	国际设定
網際網路控制訊息通訊協定	互联网络控制报文协议
網際網路工程任務小組	互联网络工程任务小组
網際網路封包	互联网络包
網際網路伺服器應用程式發展介面	互联网络服务器应用编程接口
網際網路伺服器擴充	互联网络服务器扩充
網際網路伺服器過濾器	互联网络服务器过滤器
網際網路服務供應商	因特网服务提供方
內插	内插
解譯器	解释器
中斷；岔斷	中断
交集	交
間隔	间隔
內建常數	固有常数
內建控制	固有控件
內建函數	固有函数
無效字元	无效字符
無效檔名	无效文件名
無效分頁錯誤	无效分页错误
不因國別而異	不因国别而异
不變量運算式	不变表达式
不因語言而異	不因语言而异
大小寫互換	大小写互换
顛倒深度	颠倒深度
反相選取	反相选取
挑取；調用	启用
IP 位址	因特网协议（IP）地址
IP 編號	因特网协议（IP）编号
ISAPI 擴充精靈	ISAPI扩充精灵
ISAPI 過濾器	ISAPI过滤器
隔離儲存區	隔离存储区
隔離等級	隔离等级
議題詳細表	问题详细表
發出者；發卡單位	发行者
議題表列	问题列表
項目目錄	项目目录
項目延伸	项目扩展
項目檔案名稱	项目文件名
項目路徑	项目路径
項目	项；项
迭代	迭代
迭代	迭代
迭代器	迭代
不規則陣列	不规则数组
堵塞迴圈	堵塞循环
微動	微动
聯結；合併	并，联结
聯結條件	连接条件
聯結線	联结线
聯結運算子	连接运算符
聯合立體聲	联合立体声
搖桿	操纵杆
光碟櫃；點唱機	换碟机
跳越，跳位	跳[转]  ；跳[转]
跳越敘述式	
跳到	跳转到
聯結資料表	连接资料表
對齊；調整	整版；调整
JustLink燒錄技術	JustLink刻录技术
保留外觀	保留外观
保留簽出	保留签出
疊排	紧排
鍵框	键框
金鑰對	密钥对
金鑰設定	密钥设定
金鑰驗證	密钥验证
關鍵值；鍵值	健值
鍵盤語言及布局	键盘语言及布局
鍵盤布局	键盘布局
鍵盤布局檔案	键盘布局文件
褪色效用	退色效用
數字鍵盤；小鍵盤	小键盘
關鍵字編輯器	关键字编辑器
關鍵字文字	关键字文字
美工刀	刀；美工刀
知識庫	知识库
知識庫文章	知识库文章
知識工作者	知识工作者
標號；標籤	标号；标号
有標磁碟	有标磁盘
有標敘述	有标叙述
電腦科學實驗室	计算机科学实验室
λ表式	λ表达式
LAMP 網站平台	LAMP网络平台技术(Linux + Appache + MySQL + PHP/Perl)
橫式	横[长]式
語言繫結	语言邦定
語言元件	语言元素
語言對等	语言对等
語言識別符	语言标识符
語言中性	
大圖示	大图标
大型積體電路	大规模集成电路
雷射	激光
雷射唱片；雷射唱盤；影碟片	激光碟片
套索工具	套锁工具
最後	最后
最後修改	最后修改
最後位置	最后位置
延後繫結	
延後正規化	
發動	启活
層	层；层
分層視窗功能	分层窗口功能
布局	布局；布局；布局
布局檔案	布局文件
記憶體布局	内存布局
插槽布局	插槽布局
前導位元組	前导位
導入；引入	导入
導入軌	导入轨
導出；引出	导出
導出軌	导出轨
行距；前導	行距
前導零	前导零
葉節點	叶
學習版	学习版
租用	租用
最低有效位元組	最低有效位
靠左對齊	左对齐
左箭頭	左箭头
左鍵按二下	左键双击
靠左校正	
左鍵	左键
左邊限	左边界
滑鼠左鍵	鼠标左键
左外部聯結	左连接
合法的	合法的
合法著作權	合法著作权
法律聲明	合法声明
合法商標	合法商标
長度	长[度]
字母；信	字母
等級；層級；層次；位準；類別；級；層；位階	级[别]；层
語彙分析器	词汇分析器
語彙範圍	词汇范围
語彙空間	词汇空间
程式庫管理者	库管理员
程式庫	[文件]库
程式庫檔案	库文件
程式庫版本	库版本
授權	许可
授權合約	许可证协定
授權處理器	授权处理器
授權方案	授权方案
生命期	寿命
輕微模糊化	轻微模糊
亮度	亮度
輕量	轻量
輕量控制	轻量控制
輕量型遠端程序呼叫	
限制	限制
線；橫列；行	线路；行
斷行	断行
行計數	行计数
行涵蓋範圍	行覆盖
下移一行	下移一行
行尾結束	行尾
行號	行号；线路[编]号
行剖繪	
行範圍	行范围
行分隔符	换行符
行終端符；線終止器	行终端
直線工具	直线工具
貼齊線	
線性化表格	
行連續字元	
跳行	隔行
跳行字元	隔行字符
行模式	行模式
行模式瀏覽器	行模式浏览器
連結圖表	链接图表
連結檔案	链接文件
連結格式	链接格式
連結物件	链接对象
連結來源	链接来源
連結文字	链接文字
連結時間	链接时间；链接时间
連結精靈	链接精灵
連結/讀入/讀出	链接/读入/读出
鏈結規格	链接要求
連結基礎	基础链接
連結項目	链接项目
鏈接串列	链接[列]表    
連結物件	链接对象
連結式樣工作表	链接样式工作表
連結表管理者	链接表管理器
連結視窗框架	链接窗口框架
連結視窗	链接窗口
連結器	链接器
連結與嵌入	链接与嵌入
連結元件	链接元素
連結程式庫	链接库
連結	链接
連結列	链接条
托瓦茲 (Linux核心的發明人)	Linus Benedict Torvalds(Linux内核创始人)
Linux 作業系統	Linux  操作系统
Linux開發平台規格	Linux开发平台规范
Linux核心	Linux内核
Linux 標準基礎	Linux标准基础
列出協助主題	列出帮助主题
串列處理語言	
列表檢視控制	列表视图控件
列表方塊控制	列表框控件
收聽	收听
收聽模式	收听模式
收聽者	收听者
收聽者應用	收听者应用
收聽者服務	收听者服务
字面文字	文字
字面文字常數	文字常数
字面文字個體值	
載入；負荷	装入；
載入行為	载入行为
載入有效位址指令	载入有效位指令
負載因數	负载因素
載入圖示	载入图标
視需要載入	按需载入
啟動時載入	启动时载入
載入調色盤	载入调色板
載入圖片	载入图片
載入時間	载入时间
已載入	已载入
載入狀態	载入状态
區域；本地；本機	局部，本地
區域網路	局域网
本地類別；區域類別	本地类别
本地副本目錄	本地拷贝目录
本機檔案	本地文件
本地區域網路	
本機	本机
本地模式；本機模式	本地模式
本地名稱	本地命名
區域物件	本地对象
本機部件；本地部件	本地部件
本地路徑	本地路径
本機連接埠	本机端口
本地專案	本地项目
本地遠端程序呼叫	本地远端程序呼叫
本地資源	本地资源
區域範圍	本地范围
本地伺服器	本地服务器
區域變數；本地變數	局部变量
本地網站應用	本地WEB应用
本地網站伺服器	本地WEB服务器
本地環境	本地环境
本地環境識別符	本地环境标识符
本地環境特定	
可本地化	本地化
本地化	局部化
本地化	本地化
本地化檔案	本地化文件
本機的快取副本	
區域變數	
位置方塊	
位置中斷點	
位置資訊	
鎖定控制項	锁定控件
鎖定計數	锁定计数
鎖定位置	锁定位置
鎖定專案	锁定项目
鎖定資訊檔案	锁定信息文件
鎖定模式	锁定模式
鎖定違規	锁定违规
鎖定型式	锁定形式
日誌；存錄；對數	[记]日志；[记]日志；日志
日誌檔案	日志文件
日誌檢視器	日志查看器
對數	对数
日誌檔案	日志文件
邏輯	逻辑
邏輯錯誤	逻辑差错
邏輯筆刷	逻辑笔刷
邏輯色板	逻辑色板
邏輯連接	逻辑连接
邏輯座標系統	逻辑坐标系统
邏輯和	逻辑和
邏輯等價	逻辑等价
邏輯字型	逻辑字体
邏輯隱含	逻辑隐含
邏輯行	逻辑行
邏輯運算子	逻辑运算符
邏輯移位	逻辑移位
邏輯單元	逻辑单元
邏輯檢視；邏輯觀點	逻辑视图
登入	注册
登出	注销
長日期格式	长日期格式
長檔名	长文件名
長整數	长整数
長指標	厂指针
查找	查找
查找表	查找表
迴圈；迴路	循环
迴圈構造	循环构造
迴圈外提	
迴路干擾	循环干扰
迴圈最佳化	循环最佳化
循環	循环
鬆散耦合	松耦合
鬆開	松开
漏失	损失
重要漏失	重要损失
無漏失壓縮	无损压缩
漏失壓縮	有损压缩
低序位	低序位
低功率消耗	低功耗
低階	低阶
下限	下阶
照度	
機器碼	机器码
資料來源名稱	数据来源名称
機器可理解的	机器可理解的
巨集	宏[定义]
巨集定義	
巨集展開	宏扩充
巨集瀏覽器	
巨集表列	
巨像素	
巨集對話	
魔術棒工具	魔棒工具
放大	放大
郵件伺服器	邮件服务器
郵件系統	邮件系统
信箱	邮箱
郵寄名單	邮递清单
主應用視窗	主应用窗口
主控制器	主控制器
主框架視窗	主窗口
主記憶體	主存储器
主選單	抓选单
主訊息迴圈	主消息循环
主路由	主路由
主表	主表
主表選取對話方塊	主表选取对话框
主執行緒	主线程
大型電腦	主机，特大型机
維護用公用程式	维护程序
主要版本號碼	主要版本号码
製作增益功能	制作插件
製作副本/備份	制作备份
專案精靈	项目精灵
手冊頁	手册页
可管理的服務	可管理的服务
管理	管理
管理能力	管理能力
管理界面	管理界面
管理政策	管理政策
管理語意	管理语义
管理者	管理器，管理程序
國語	
手冊；手動	手册
手動組態設定	手动配置
手動連結	手动链接
製造者；製造商	制造商
多對多關係	多对多联系
對映；圖；映射	映射；映射；映像
對映檔案	映射文件
對映網路	映射网络
對映網路磁碟機	映射网络驱动器
對映網路資源	映射网络资源
對映；映射	映射
機讀目錄記錄	机读目录记录
邊限	版口，页边空白
邊限指示符	
標記	加标[记]
標誌	标记符；标记符
標示宣告	标记声明
標示語言	置标语言；置标语言
標示模型	置标模型
跑馬燈控制	跑马灯控件
編組處理	
遮罩	屏蔽；掩码
遮罩點陣圖	屏蔽位图
遮罩層	屏蔽层
遮罩區	屏蔽区
被遮罩編輯控制	屏蔽编辑控件
大量儲存裝置	大量存储设备
光碟母片	光盘母片
匹配；符合	比对
成對括號	成对括号
大小寫符合	匹配大小写
前綴符合	前缀匹配
子字串符合	子字符串匹配
僅限全字拼寫符合	仅限全字匹配
色版	调色板
最大混合	最大混合
最大化按鈕	最大化按钮
最大化視窗	最大化窗口
最大	最大
最大每秒位元組數	最大位数每秒
最大傳輸單元	最大传输单元
最大錯誤量	最大错误数
多媒體控制介面	多媒体控件界面
多重文件介面 	多文档界面
被測量事件	被测事件
測量單位	测量单位
機制	机制
媒體布局	媒体布局
媒體；媒介；中等的	媒体,介质；媒体；媒体；中[间]
中度模糊化	中度模糊
成員	成员；成员
成員存取運算子	成员存取操作
成員函數	成员函数
成員初始化表列	成员初始化列表
成員名稱	成员名称
成員選項	成员选项
成員型式	成员形式
成員變數	成员变量
成員存取控制	成员存取控制
成員資格條件	成员资格条件
成員逐一	成员逐一
成員逐一複製	成员逐一复制
備忘	备忘录
記憶體配置	内存分配
記憶體區塊	内存块
記憶體快取基底物件	内存高速缓存基础物体
記憶布局	内存布局
記憶漏失	内存泄露
記憶模型	存储器模型
記憶物件	
記憶使用差異	内存使用差异
選單	选单
選單啟動	启动选单
選單外觀	选单外观
選單列	选单条
選單控制	选单控件
選單項目	选单项
選單號碼	选单编号
選單程式集	选单编程
選單資源	选单资源
選單縮圖	选单缩图
選單項目識別符	选单项目识别符
合併	归（合）并
訊息	消息，报文；消息，报文；消息，报文；消息，报文
訊息方塊	消息框
訊息中斷點	消息断点
訊息相關	消息相关
訊息交換型樣	消息交换样式
訊息檔案	消息文件
訊息過濾器	消息过滤器
訊息處置器	消息处理器
訊息處置器	消息处理
訊息標頭	消息头
訊息迴圈	消息循环
訊息對映	消息映射
訊息封裝	消息封装
訊息幫浦	
訊息佇列	消息队列
訊息接收者	消息接收者
訊息反射	消息反射
訊息可靠度	消息可靠性
訊息發送者	消息发送者
訊息槽	消息汇（宿）
訊息傳輸	消息传输
訊息驅動	消息驱动
訊息處置函數	消息处理函数
訊息對映項	消息映射入口
訊息對映巨集	消息映射巨集
應用程式開發傳訊介面	信息应用编程接口
元標籤	元标签
元字元	元字符
元內容	元内容
後設資料	元数据
後設檔；元檔案	元文件
計量表控制	仪表控件
方法	方法
度量	度量
微電腦	微电脑
小額付款	小额付款
每框毫秒數	毫秒每桢
滑鼠中鍵	鼠标中键
中層	中层
中階	中阶
轉移精靈	转移精灵
小型傾印	小型转储
最少重建	最小重建
釐米	厘米
次要版本號碼	次版本号码
分	分钟
鏡像	镜像
鏡像顯示字型	镜像显示字体
鏡像表列	镜像列表
鏡射網站	镜像站点
雜項	杂项
不匹配；不符合	不匹配
遺失	丢失
混合內容	混合内容
混合式啟動	混合式启动
混合模式光碟	混合模式光盘
助憶符號	
模態	模态
模態	模态
模型	模型
模型繫結表示式	模型邦定表达式
模型項目	模型项目
模型項目性質	模型项目属性
模型理論	模型理论
無模式	非模态
無模式形式	非模块形式
塑模	建模；建模，造型
塑模語言	建模语言
塑模工具	建模工具
數據機	调制解调器
數據機連接	调制解调器连接
修飾符	修饰符
修飾符鍵	修饰符键
修改	修改
模組化	模块化
模組化模型	模块化模型
模組	模块；模块
模組定義檔案	模块定义文件
模組層次	模块层次
單音	单音
單語言	单语言
等寬字型	等（间）距字型
單調	单调
月曆控制	月历控件
最末衍生類別	
最高有效位元組	
主題資源管理者	主题资源管理器
主題視窗管理者	主题窗口管理器
移動按鈕	移动按钮
移動指引	移动指南
移動選單	移动选单
動作補間	
掛載	装定夹；装[上]
滑鼠捕捉	鼠标捕捉
滑鼠事件	鼠标事件
滑鼠訊息	鼠标消息
滑鼠指標告知	鼠标指针通知
滑鼠目標	鼠标目标
移動檔案	移动文件
移動資料夾	移动文件夹
工具下移	工具下移
工具上移	工具上移
電影識別符標籤	电影识别标签
MPEG 音訊層	MPEG音频层
分秒框位置	分秒桢位置
多重會談	多重会话
多位元組字元集	多位字符集
多位元組碼頁	多位编码页
多播	组（多）播
多碼匯入/匯出	多码引入引出
多維	多维
多語文	多语言
多行編輯控制	多行编辑控件
多語文	多语言
多重連結鍊結	多链路连接
多重對映	多重映射
多媒體控制	多媒体控制
多重	多重
多重文件介面	多文档界面
多重文件型式	多文档类型
多重檔案	多文件
多重選擇	多选
多行編輯控制	多行编辑控件
多重選擇表列方塊	多选列表框
多工	[多路]复用
多工器	复用器
乘法	乘法
乘法運算子	乘法运算符
多協定傳輸網路	多协议传输网络
多用途網際網路郵件延伸	多用途的网际邮件扩充协议
多重集合	多重集合
多重執行緒	多线程
多重執行緒區塊模型	
多重執行緒應用	多线程应用[程序]
多使用者	多用户
多使用者環境	多用户环境
多重檢視	多重视图
多卷壓縮	多卷压缩
音樂片段	音乐片段
音樂視訊	音乐视频
靜音	静音
互斥物件	互斥物体
互斥	互斥
名稱	名称
名稱修飾	名称修饰
名稱空間	名称空间
具名引數	命名变量
具名書籤	命名书签
具名類別	命名类别
具名參數	命名参数
具名許可集合	命名许可集合
具名管道	命名管道
具名序列	命名序列
名稱空間污染	名称空间污染
名稱空間前綴	名称空间前缀
名稱空間有效	名称空间有效
名稱空間驗證	名称空间验证
名稱空間合格	名称空间合格
命名規約	命名规定
命名方案	命名方案
國家語言支援	国家语言支持
原生；固有	本原
原生音訊	本原音频
原生碼	本原[代]码
原生編譯器	本原编译器
原生資料	本原数据
原生錯誤	本原错误
自然語言	自然语言
本質	自然
導覽列影像	导航列图象
導覽	导航
向後導覽	向后导航
向前導覽	向前导航
導覽	导航；导航；导航
導覽列	导航条
導覽機制	导航机制
導覽結構	导航结构
近指標	近指针
協商內容	协商内容
協商後設資料	
巢套	嵌套
網	网
網路新聞	网络新闻传输协议
網路新聞傳送協定	网络新闻传输协议
網路配接器	网络适配器
網址轉譯	网络地址转译
網路位元組次序	网络字节序
網路卡	网卡
網路連接	网络连接
網路檔案系統	网络文件系统
網路資訊服務	网络信息服务
網路負載平衡	网络负载平衡
網路服務提供者	网络服务提供者
網路組件	网络组件
中性	中性
換行字元	换行字符
節點	结点；结点；结点
正常	正常
正常按鈕	正常按钮
正常拖曳	正常拖拽
正常執行	正常执行
正常起始	正常初始化
正常選擇	正常选择
正常大小	正常大小
正常視窗	正常窗口
規範的文字	规范文字
記法	记法
記法宣告	记法声明
備考；註解	注解
筆記型電腦；筆記本	笔记本电脑；笔记本
通知訊息	通知信息
通知服務	通知服务
通知	通知
輕推；微調	[逐像素]挪动
微增寬度	稍微增加宽度
向上微調	稍微上调
空；空值	空值
空敘述	空语句
輔助位元數	辅助位数
每像素位元數	每像素位数
每樣本位元數	每样本位数
拷貝數	拷贝数
框數	帧数
每區塊框數	每块帧数
平面數	平面数
串流數	流数
初始框數	初始帧数
數值	数值
數值表示式	数值表达式
數字鍵台	数字小键盘
數值參數	数值参数
數值型式	数[字]类型
物件	客体；对象；客体
基於物件	基于对象
物件瀏覽器	对象浏览器
物件瀏覽器過濾器	对象浏览器过滤器
目的碼	目标[程序]码；目标[程序]码
物件描述語言檔案	对象描述语言文件
物件表示式	对象表达式
目的檔案	目标文件
物件階層	对象层次
物件程式庫	对象库
物件連結與嵌入	OLE
物件對映	对象映射
物件模型	对象模型；对象模型；对象模型
物件模組	目标模块
物件模組格式	对象模型格式
物件導向	对象向导
物件集區	
物件性質	对象性质
物件限定符	
物件狀態	对象状态
物件型式	对象类型
物件變數	对象变量
物件檢視器	对象视图
物件導向設計	面向对象的设计
義務	义务
八進位	八元；八进制
離線作業	离线操作
離線發行	离线发布
離線複製	离线复制
線上	在线
運作中	操作中处理
步調一致	
一對多關係	一对多联系
一對一關係	一对一联系
描圖紙	
螢幕鍵盤	屏上键盘
物件導向程式設計	面向对象编程
不透明度	不透明度
開放式資料庫連接	ODBC；公共数据库接口
開啟獨佔權限	开启独占权限
開放資訊模型	开放信息模型
開放服務架構	开放服务架构
開放軟體說明	开放软件说明
開放軟體基金會	开发软件基金会
開放聲音系統	开放声音系统
開放源碼	开放源码
開放系統互連	开放系统互连
開頭標籤	开口标签
運算元	操作数
操作碼	操作码
作業環境	操作环境
作業；操作；運算	操作
作業失敗	操作失败
作業系統；操作系統	操作系统
運算子；運算符	运算符
運算子居先	运算符前置
開放式	开放式
開放式並行	开放式并行
開放式鎖定	开放式锁定
最佳化	最佳化
最佳化中繼語言	最佳化中继语言
